epoch,target,message,count
10,MF,93,79
10,MF,57,3
10,MF,44,1
10,MF,0,1
10,By,83,37
10,By,57,15
10,By,42,6
10,By,44,29
10,By,90,23
10,By,12,8
10,By,91,14
10,By,36,1
10,By,89,1
10,By,15,1
10,By,0,4
10,By,16,3
10,By,82,1
10,By,69,1
10,By,17,1
10,By,32,1
10,ZeD,57,18
10,ZeD,91,33
10,ZeD,44,47
10,ZeD,0,6
10,ZeD,42,18
10,ZeD,68,1
10,ZeD,81,2
10,ZeD,83,8
10,ZeD,16,4
10,ZeD,82,4
10,ZeD,52,1
10,ZeD,32,1
10,ZeD,69,6
10,ZeD,12,10
10,ZeD,36,1
10,ZeD,43,1
10,ZeD,90,1
10,Ze,44,43
10,Ze,91,22
10,Ze,82,3
10,Ze,83,11
10,Ze,42,14
10,Ze,57,15
10,Ze,81,1
10,Ze,30,2
10,Ze,69,1
10,Ze,16,8
10,Ze,25,1
10,Ze,0,5
10,Ze,73,1
10,Ze,43,1
10,Ze,56,1
10,Ze,49,1
10,Ze,48,1
10,Ze,12,9
10,Ze,90,2
10,Ze,55,1
10,Ze,52,2
10,Ze,93,1
10,ByD,90,124
10,ByD,36,1
10,ByD,16,2
10,ByD,52,1
10,ByD,83,22
10,ByD,44,3
10,ByD,42,1
10,ByD,17,1
10,ByD,57,4
10,ByD,12,1
10,FBy,48,81
10,FBy,93,84
10,FBy,95,1
10,FBy,44,1
10,DS,90,132
10,DS,83,1
10,MZe,48,91
10,MZe,93,83
10,MZe,95,1
10,FZy,93,67
10,FZy,48,75
10,BeD,57,16
10,BeD,16,7
10,BeD,44,31
10,BeD,42,14
10,BeD,12,8
10,BeD,91,28
10,BeD,0,6
10,BeD,68,1
10,BeD,83,6
10,BeD,30,2
10,BeD,69,3
10,BeD,39,1
10,BeD,48,1
10,BeD,36,2
10,BeD,90,1
10,BeD,82,1
10,BeD,52,1
10,BeD,32,1
15,MBe,93,107
15,MBe,48,51
15,MBe,25,1
15,SS,90,100
15,SS,83,46
15,ZeD,42,21
15,ZeD,83,38
15,ZeD,0,14
15,ZeD,44,42
15,ZeD,91,20
15,ZeD,25,4
15,ZeD,69,13
15,ZeD,12,4
15,ZeD,17,1
15,ZeD,16,2
15,ZeD,57,2
15,ZeD,81,1
15,Zy,83,138
15,Zy,44,6
15,Zy,42,7
15,Zy,57,1
15,Zy,16,1
15,Zy,12,1
15,Zy,36,1
15,Zy,69,4
15,Zy,0,2
15,Zy,91,1
15,FBy,93,106
15,FBy,48,60
15,FBy,0,1
15,ByD,83,153
15,ByD,90,7
15,MZe,48,61
15,MZe,93,114
15,DD,90,127
15,DD,83,30
15,ByS,83,149
15,ByS,36,1
15,ByS,90,10
15,ByS,17,1
15,M,44,53
15,M,42,39
15,M,3,1
15,M,91,9
15,M,83,14
15,M,69,17
15,M,57,3
15,M,81,1
15,M,0,18
15,M,12,3
15,M,93,2
15,M,49,1
15,M,36,1
15,BeD,42,17
15,BeD,69,19
15,BeD,0,17
15,BeD,25,7
15,BeD,44,49
15,BeD,91,11
15,BeD,36,1
15,BeD,57,2
15,BeD,95,1
15,BeD,68,1
15,BeD,83,5
15,Ze,44,53
15,Ze,42,25
15,Ze,0,20
15,Ze,57,2
15,Ze,83,12
15,Ze,69,13
15,Ze,91,14
15,Ze,25,5
15,Ze,12,2
15,MBy,48,42
15,MBy,93,112
15,MBy,44,1
15,FF,48,54
15,FF,93,105
15,FF,0,1
15,FF,69,1
15,ZeS,91,10
15,ZeS,69,24
15,ZeS,0,19
15,ZeS,44,68
15,ZeS,42,24
15,ZeS,25,6
15,ZeS,83,13
15,ZeS,57,6
15,ZeS,68,1
15,ZeS,29,1
15,ZeS,93,1
15,ZeS,12,2
15,S,90,113
15,S,83,54
15,ZyD,36,1
15,ZyD,83,135
15,ZyD,90,15
15,D,83,37
15,D,90,101
15,Be,44,46
15,Be,42,31
15,Be,0,27
15,Be,83,12
15,Be,91,12
15,Be,93,4
15,Be,48,1
15,Be,57,2
15,Be,69,23
15,Be,12,4
15,Be,25,1
15,MZy,48,49
15,MZy,93,107
15,MZy,0,1
15,MZy,95,1
15,MZy,42,1
15,MZy,69,1
15,F,12,5
15,F,69,18
15,F,0,23
15,F,42,27
15,F,83,14
15,F,91,7
15,F,44,40
15,F,25,3
15,F,32,1
15,F,48,1
15,F,57,1
15,F,82,1
15,BeS,48,2
15,BeS,42,29
15,BeS,44,50
15,BeS,93,2
15,BeS,0,18
15,BeS,69,16
15,BeS,12,5
15,BeS,83,5
15,BeS,95,1
15,BeS,57,4
15,BeS,91,7
15,BeS,25,7
15,BeS,16,2
15,BeS,49,1
15,By,0,4
15,By,83,118
15,By,91,5
15,By,57,1
15,By,42,4
15,By,44,6
15,By,90,1
15,By,36,1
15,By,69,4
15,By,12,1
15,By,16,1
15,DS,90,129
15,DS,83,4
15,FM,93,103
15,FM,48,61
15,FM,44,2
15,FM,0,1
15,FBe,93,108
15,FBe,48,37
15,FZy,93,90
15,FZy,48,51
15,FZy,25,1
15,SD,90,138
15,SD,83,8
15,MF,93,100
15,MF,48,47
15,MF,44,1
15,MF,0,1
15,MF,69,1
15,MM,93,128
15,MM,48,55
15,MM,25,1
15,MM,42,1
15,FZe,93,123
