epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
54,test,0.08806932717561722,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
55,train,0.0854342058300972,0.9399999976158142,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
55,test,0.08806689083576202,0.9369999170303345,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
56,train,0.08543188124895096,0.9399999976158142,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
56,test,0.08806472271680832,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
57,train,0.08542974293231964,0.9377999901771545,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
57,test,0.08806261420249939,0.9339998960494995,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
58,train,0.08542773127555847,0.9399999976158142,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
58,test,0.08806072175502777,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
59,train,0.08542583137750626,0.9392000436782837,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
59,test,0.08805884420871735,0.9340001344680786,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
60,train,0.08542405068874359,0.9398000240325928,0.9375,18.47117692525756,60.48690281303451,50,100,200,100,200,1,1,gru,continuous,50,42,100
60,test,0.08805711567401886,0.9369999766349792,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
61,train,0.08542241901159286,0.939799964427948,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
61,test,0.08805549889802933,0.9380000233650208,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
62,train,0.08542082458734512,0.9398000240325928,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
62,test,0.08805401623249054,0.9389999508857727,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
63,train,0.08541937917470932,0.9399999976158142,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
63,test,0.08805261552333832,0.934999942779541,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
64,train,0.08541799336671829,0.9416000247001648,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
64,test,0.08805130422115326,0.9350000619888306,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
65,train,0.08541670441627502,0.9395999908447266,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
65,test,0.08805007487535477,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
66,train,0.08541550487279892,0.9391999840736389,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
66,test,0.08804889023303986,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
67,train,0.08541440218687057,0.9395999908447266,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
67,test,0.0880478098988533,0.935999870300293,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
68,train,0.08541332185268402,0.9395999908447266,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
68,test,0.08804674446582794,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
69,train,0.08541233092546463,0.9389999508857727,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
69,test,0.08804579079151154,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
70,train,0.08541137725114822,0.9368000626564026,0.9375,18.47117692525756,61.05257017357922,50,100,200,100,200,1,1,gru,continuous,50,42,100
70,test,0.08804484456777573,0.9409999847412109,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
71,train,0.08541049808263779,0.9406000375747681,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
71,test,0.08804401755332947,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
72,train,0.08540967106819153,0.9422000050544739,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
72,test,0.0880432203412056,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
73,train,0.08540890365839005,0.9387999773025513,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
73,test,0.08804245293140411,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
74,train,0.08540814369916916,0.9403999447822571,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
